,0,1
1122,0.0,1.0
1123,0.0,1.0
1124,0.0,1.0
1125,0.0,1.0
1126,0.0,1.0
1127,0.0,1.0
1128,0.0,1.0
1129,0.0,1.0
1130,0.0,1.0
1131,0.0,1.0
1132,0.0,1.0
1133,0.0,1.0
1134,0.0,1.0
1135,0.0,1.0
1136,0.0,1.0
1137,0.0,1.0
1138,0.0,1.0
1139,0.0,1.0
1140,0.0,1.0
1141,0.0,1.0
1142,0.0,1.0
1143,0.0,1.0
1144,0.0,1.0
1145,0.0,1.0
1146,0.0,1.0
1147,0.0,1.0
1148,0.0,1.0
1149,0.0,1.0
1150,0.0,1.0
1151,0.0,1.0
1152,0.0,1.0
1153,0.0,1.0
1154,0.0,1.0
1155,0.0,1.0
1156,0.0,1.0
1157,0.0,1.0
1158,0.0,1.0
1159,0.0,1.0
1160,0.0,1.0
1161,0.23404255319148937,0.7659574468085106
1162,0.0,1.0
1163,0.0,1.0
1164,0.0,1.0
1165,0.0,1.0
1166,0.0,1.0
1167,0.0,1.0
1168,0.0,1.0
1169,0.0,1.0
1170,0.35294117647058826,0.6470588235294118
1171,0.0,1.0
1172,0.0,1.0
1173,0.0,1.0
1174,0.0,1.0
1175,0.0,1.0
1176,0.0,1.0
1177,0.0,1.0
1178,0.0,1.0
1179,0.0,1.0
1180,0.0,1.0
1181,0.0,1.0
1182,0.0,1.0
1183,0.23404255319148937,0.7659574468085106
1184,0.0,1.0
1185,0.0,1.0
1186,0.0,1.0
1187,0.0,1.0
1188,0.23404255319148937,0.7659574468085106
1189,0.0,1.0
1190,0.0,1.0
1191,0.23404255319148937,0.7659574468085106
1192,0.0,1.0
1193,0.0,1.0
1194,0.23404255319148937,0.7659574468085106
1195,0.0,1.0
1196,0.0,1.0
1197,0.0,1.0
1198,0.23404255319148937,0.7659574468085106
1199,0.0,1.0
1200,0.0,1.0
1201,0.5,0.5
1202,0.1,0.9
1203,0.1,0.9
1204,0.0,1.0
1205,0.0,1.0
1206,0.0,1.0
1207,0.0,1.0
1208,0.0,1.0
1209,0.1,0.9
1210,0.0,1.0
1211,0.0,1.0
1212,0.0,1.0
1213,0.23404255319148937,0.7659574468085106
1214,0.1,0.9
1215,0.0,1.0
1216,0.0,1.0
1217,0.42857142857142855,0.5714285714285714
1218,0.0,1.0
1219,0.0,1.0
1220,0.0,1.0
1221,0.0,1.0
1222,0.0,1.0
1223,0.0,1.0
1224,0.0,1.0
1225,0.0,1.0
1226,0.0,1.0
1227,0.0,1.0
1228,0.0,1.0
1229,0.9464285714285714,0.05357142857142857
1230,0.0,1.0
1231,0.0,1.0
1232,0.0,1.0
1233,0.0,1.0
